iso3,country,disagg.value,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016
URY,Uruguay,Female,23.31,23.72,24.14,24.56,24.98,25.40,25.82,26.24,26.67,27.10,27.53,27.96,28.39,28.83,29.26,29.70,30.15,30.59
URY,Uruguay,Male,16.49,16.94,17.40,17.86,18.33,18.80,19.28,19.76,20.25,20.74,21.24,21.75,22.26,22.77,23.30,23.83,24.37,24.92
USA,United States of America,Female,26.20,26.90,27.60,28.28,28.94,29.60,30.24,30.87,31.50,32.11,32.72,33.33,33.94,34.54,35.15,35.75,36.35,36.96
USA,United States of America,Male,23.26,24.02,24.78,25.52,26.26,26.98,27.70,28.41,29.12,29.82,30.52,31.22,31.92,32.62,33.32,34.03,34.74,35.46
UZB,Uzbekistan,Female,11.32,11.63,11.97,12.32,12.68,13.07,13.47,13.88,14.31,14.77,15.23,15.72,16.22,16.74,17.29,17.85,18.42,19.02
UZB,Uzbekistan,Male,7.37,7.62,7.89,8.17,8.47,8.78,9.10,9.44,9.80,10.17,10.55,10.96,11.38,11.82,12.29,12.77,13.28,13.81
VCT,Saint Vincent and the Grenadines,Female,20.20,20.80,21.41,22.02,22.63,23.25,23.88,24.51,25.14,25.78,26.42,27.07,27.72,28.38,29.04,29.70,30.37,31.03
VCT,Saint Vincent and the Grenadines,Male,8.03,8.42,8.82,9.23,9.65,10.09,10.54,11.01,11.49,11.98,12.49,13.02,13.56,14.12,14.70,15.30,15.92,16.56
VEN,Venezuela (Bolivarian Republic of),Female,22.69,23.07,23.45,23.82,24.17,24.53,24.87,25.22,25.55,25.89,26.22,26.56,26.89,27.23,27.58,27.93,28.28,28.64
VEN,Venezuela (Bolivarian Republic of),Male,15.24,15.69,16.13,16.56,16.99,17.41,17.84,18.25,18.66,19.06,19.47,19.87,20.28,20.70,21.12,21.54,21.98,22.42
VNM,Viet Nam,Female,0.83,0.88,0.94,1.01,1.08,1.16,1.24,1.33,1.42,1.52,1.63,1.74,1.86,1.99,2.12,2.27,2.42,2.58
VNM,Viet Nam,Male,0.34,0.37,0.40,0.44,0.48,0.53,0.58,0.64,0.70,0.77,0.84,0.92,1.01,1.11,1.22,1.33,1.46,1.59
VUT,Vanuatu,Female,19.67,20.25,20.84,21.43,22.02,22.62,23.22,23.82,24.43,25.04,25.66,26.28,26.90,27.52,28.15,28.78,29.42,30.06
VUT,Vanuatu,Male,10.90,11.34,11.79,12.25,12.73,13.21,13.71,14.23,14.76,15.30,15.85,16.43,17.01,17.62,18.24,18.88,19.53,20.21
WSM,Samoa,Female,44.75,45.46,46.14,46.81,47.46,48.10,48.72,49.33,49.93,50.52,51.10,51.67,52.24,52.80,53.36,53.91,54.46,55.00
WSM,Samoa,Male,27.56,28.32,29.06,29.80,30.53,31.25,31.98,32.69,33.41,34.12,34.83,35.55,36.27,36.99,37.72,38.46,39.19,39.94
YEM,Yemen,Female,12.02,12.50,12.99,13.49,14.00,14.52,15.06,15.61,16.18,16.77,17.37,18.00,18.63,19.28,19.95,20.63,21.31,22.01
YEM,Yemen,Male,4.87,5.15,5.43,5.74,6.05,6.38,6.73,7.09,7.48,7.89,8.32,8.77,9.24,9.74,10.25,10.80,11.37,11.96
ZAF,South Africa,Female,29.62,30.22,30.82,31.42,32.02,32.62,33.22,33.82,34.42,35.02,35.60,36.19,36.77,37.34,37.90,38.47,39.02,39.57
ZAF,South Africa,Male,7.23,7.58,7.96,8.34,8.74,9.16,9.60,10.04,10.51,10.99,11.48,11.99,12.51,13.04,13.59,14.16,14.75,15.35
ZMB,Zambia,Female,6.54,6.72,6.93,7.17,7.43,7.71,8.01,8.34,8.68,9.05,9.42,9.82,10.22,10.64,11.06,11.51,11.96,12.43
ZMB,Zambia,Male,1.58,1.63,1.69,1.75,1.83,1.91,2.00,2.10,2.21,2.33,2.45,2.59,2.73,2.88,3.03,3.20,3.38,3.56
ZWE,Zimbabwe,Female,17.51,18.02,18.51,18.99,19.47,19.94,20.40,20.85,21.30,21.74,22.17,22.60,23.03,23.47,23.91,24.35,24.80,25.26
ZWE,Zimbabwe,Male,2.26,2.39,2.52,2.65,2.78,2.92,3.05,3.19,3.33,3.46,3.60,3.74,3.89,4.04,4.20,4.36,4.53,4.72
